Year;Latitude;Longitude;Depth;Mw
2020;38.3875;44.436;5;4.7
2020;38.2803;38.7495;2.6;3.6
2020;39.4158;40.0272;5;3.4
2020;35.2183;27.9238;8.4;3.5
2020;35.7315;26.863;5.4;4.8
2020;38.4715;39.307;2.4;3.5
2020;35.2382;27.7565;13.9;3.9
2020;38.9662;27.8725;5.3;3.6
2020;38.2092;39.1977;6.1;3.5
2020;38.3473;43.944;5;3.8
2020;38.4682;39.253;5.4;3.7
2020;35.1328;27.7977;82;3.6
2020;35.2218;27.9348;8.9;3.6
2020;35.1703;27.9688;3.8;4.9
2020;38.2567;38.8748;5;3.8
2020;39.0668;27.8057;14.2;3.6
2020;38.9965;27.8518;9;4
2020;39.0928;27.8188;11.4;3.8
2020;38.4048;39.222;5.8;3.7
2020;35.128;27.9513;20.1;3.5
2020;38.9845;27.8472;9.5;3.1
2020;39.0252;27.8533;9.9;3.6
2020;35.0023;26.578;15.2;4
2020;38.278;38.8015;5;3.5
2020;39.0915;27.8103;8.5;3.5
2020;35.1572;27.9433;6.8;3.7
2020;38.3678;39.0297;7;3.6
2020;39.0035;27.8542;3.2;3.5
2020;38.9793;27.8397;9.4;4.7
2020;38.9922;27.8615;10.5;4.1
2020;39.107;27.8308;12.9;3.2
2020;39.0942;27.8287;11;3.6
2020;38.9827;27.8703;10.2;4
2020;38.3833;39.0917;5;3.4
2020;39.0783;27.8297;8.7;3.2
2020;38.9853;27.8498;11.9;3.6
2020;35.2755;27.9263;7.4;4.1
2020;38.9998;27.865;9.1;3.3
2020;38.996;27.8625;6.6;4
2020;38.9933;27.8567;10.7;3.4
2020;38.366;39.0802;5;4.6
2020;35.1058;27.8942;3;3.6
2020;38.9997;27.8522;9.9;4
2020;39.0032;27.8528;7.6;3.1
2020;37.4635;37.22;4.8;3.6
2020;38.9935;27.8538;11.1;3.8
2020;35.2445;27.9015;9;3.9
2020;39.0885;27.8662;13.7;4.2
2020;35.3292;27.8922;5;4.1
2020;39.098;27.8148;8.1;3.6
2020;39.0785;27.8242;13.7;4
2020;35.1567;27.8252;7.7;3.5
2020;40.8358;28.1837;14.4;3.6
2020;39.0027;27.8452;6.7;3.3
2020;38.999;27.8562;15.4;4.7
2020;38.4382;39.1762;5;3.5
2020;35.1232;27.8135;5.6;3.6
2020;38.4122;39.2077;2.2;4.3
2020;38.5023;39.3268;5.1;4.6
2020;38.4312;39.1463;5;4
2020;38.2565;38.7885;5;3.5
2020;35.256;27.9115;5;3.8
2020;35.2118;28.006;8.4;4.2
2020;39.0178;27.8355;6.4;3.5
2020;35.1578;27.8618;5;3.5
2020;38.5038;39.3495;5.6;3.5
2020;35.08;27.9635;5.3;4.4
2020;35.1373;27.8845;3.2;3.7
2020;35.1172;27.888;5;3.5
2020;35.0967;27.9032;5.3;3.6
2020;35.1338;27.8212;7.5;3.5
2020;35.064;27.8902;5;3.6
2020;39.0988;27.8378;8.3;3.9
2020;35.2145;27.7342;8.2;3.5
2020;38.4903;39.3037;1.6;3.9
2020;35.1825;27.7365;5;3.5
2020;35.1148;27.8855;5;4
2020;35.1038;27.8682;7.1;5.8
2020;35.0935;27.8265;5.6;3.5
2020;35.0675;27.8395;5;4.4
